"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,,,,,,,,,,,,,,,,,,,,,,";"buzzardLabel";28;"";;;
2;"REF**";"Symbol-Front-I2C-ADDR-Field";1;"Symbol-Front-I2C-ADDR-Field";;;
3;"REF**";"Logo-Back-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
4;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
5;"K5";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
6;"K1,K2";"easyC-connector";2;"easyC-SMD";;;
7;"C4";"0603C";1;"0.1uF";;;
8;"U1";"TSSOP-16";1;"TCA9534PWR";;;
9;"R2,R1,R3";"0603R";3;"100k";;;
10;"JP2,JP1,JP3";"SMD_JUMPER";3;"SMD_JUMPER";;;
11;"Q1";"SOT-23-3";1;"NMOS-SOT-23-3";;;
12;"FD1";"FIDUCIAL_1MM_PASTE";1;"Fiducial_Stencil";;;
13;"C2,C1";"0603C";2;"CL10A226MPCNUBE";;;
14;"C5";"0603C";1;"C1608X7S1A475K080AC";;;
15;"R8,R10,R9,R6,R4";"0603R";5;"10k";;;
16;"G***,G***";"Logo-Front-easyC-5mm";2;"LOGO";;;
17;"JP4,JP5";"SMD_JUMPER_3_PAD_TRACE";2;"SMD_JUMPER_3_PAD_TRACE";;;
18;"R5";"0603R";1;"330R";;;
19;"U2";"tps613222a";1;"TPS613222A";;;
20;"REF**";"Logo-Front-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
21;"C3";"0603C";1;"1uF";;;
22;"U3";"SOT-363";1;"NMOS-DUAL";;;
23;"H2,H1";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
24;"L1";"0806L";1;"DFE201612E-2R2M=P2";;;
25;"R7";"tc33x-2-103e";1;"tc33x-2-103e";;;
26;"K3,K4";"HEADER_MALE_8X1";2;"HEADER_MALE_8X1";;;
